19	1
20	7
21	18
22	47
23	117
24	306
25	808
26	6724
27	13126
28	4784
29	2954
30	2058
31	1311
32	961
33	665
34	545
35	415
36	394
37	308
38	326
39	295
40	271
41	241
42	241
43	253
44	272
45	233
46	215
47	195
48	209
49	214
50	209
51	193
52	187
53	203
54	176
55	214
56	216
57	231
58	234
59	218
60	272
61	278
62	325
63	386
64	417
65	531
66	664
67	712
68	874
69	1145
70	1520
71	1878
72	2328
73	2583
74	3248
75	4011
76	5067
77	6441
78	9258
79	13057
80	14341
81	15224
82	14862
83	8007
84	2428
85	1008
86	610
87	382
88	220
89	181
90	156
91	109
92	89
93	77
94	64
95	58
96	42
97	53
98	51
99	40
100	25
101	40
102	20
103	19
104	31
105	22
106	14
107	15
108	17
109	15
110	16
111	13
112	10
113	6
114	9
115	6
116	4
117	5
118	3
119	3
120	1
121	4
122	3
123	3
124	1
125	2
128	1
130	2
132	1
133	1
134	1
136	1
139	1
140	2
141	1
142	1
143	1
144	1
145	1
150	1
152	1
155	2
163	1
164	1
172	1
175	1
183	1
184	3
185	1
189	1
191	1
192	2
196	2
198	1
199	1
200	1
203	1
204	1
206	1
207	1
208	1
210	1
217	2
218	2
219	1
220	1
222	1
224	1
229	1
233	1
234	2
237	1
240	2
241	1
242	2
243	2
244	1
245	4
247	4
248	2
249	5
250	8
251	18
252	31
253	59
254	205
255	102
